,rseed,num_req,adm_rate,succ_order_rate,service_rate,policy,pct
0,1,144,29.1667,35.7143,10.4167,EDDPred,37
1,2,155,32.9032,31.3725,10.3226,EDDPred,37
2,3,179,32.4022,22.4138,7.2626,EDDPred,37
3,4,179,29.6089,26.4151,7.8212,EDDPred,37
4,5,160,32.5,25,8.125,EDDPred,37
5,6,167,29.9401,24,7.1856,EDDPred,37
6,7,164,31.0976,31.3725,9.7561,EDDPred,37
7,8,165,29.0909,29.1667,8.4848,EDDPred,37
8,9,180,27.2222,30.6122,8.3333,EDDPred,37
9,10,162,30.2469,32.6531,9.8765,EDDPred,37
10,11,180,29.4444,32.0755,9.4444,EDDPred,37
11,12,152,30.9211,29.7872,9.2105,EDDPred,37
12,13,145,35.8621,30.7692,11.0345,EDDPred,37
13,14,164,28.6585,29.7872,8.5366,EDDPred,37
14,15,154,33.1169,27.451,9.0909,EDDPred,37
15,16,168,30.9524,28.8462,8.9286,EDDPred,37
16,17,182,25.8242,34.0426,8.7912,EDDPred,37
17,18,180,31.6667,21.0526,6.6667,EDDPred,37
18,19,161,27.9503,35.5556,9.9379,EDDPred,37
19,20,204,26.9608,30.9091,8.3333,EDDPred,37
20,21,178,29.7753,22.6415,6.7416,EDDPred,37
21,22,159,29.5597,34.0426,10.0629,EDDPred,37
22,23,158,33.5443,30.1887,10.1266,EDDPred,37
23,24,185,30.2703,28.5714,8.6486,EDDPred,37
24,25,166,29.5181,26.5306,7.8313,EDDPred,37
25,26,182,28.5714,25,7.1429,EDDPred,37
26,27,186,25.8065,35.4167,9.1398,EDDPred,37
27,28,174,31.0345,22.2222,6.8966,EDDPred,37
28,29,169,28.9941,32.6531,9.4675,EDDPred,37
29,30,165,32.1212,30.1887,9.697,EDDPred,37
30,31,154,31.8182,36.7347,11.6883,EDDPred,37
31,32,160,35.625,24.5614,8.75,EDDPred,37
32,33,181,25.9669,34.0426,8.8398,EDDPred,37
33,34,144,31.9444,26.087,8.3333,EDDPred,37
34,35,185,27.027,22,5.9459,EDDPred,37
35,36,173,28.3237,32.6531,9.2486,EDDPred,37
36,37,182,31.8681,22.4138,7.1429,EDDPred,37
37,38,185,29.7297,25.4545,7.5676,EDDPred,37
38,39,188,27.1277,33.3333,9.0426,EDDPred,37
39,40,156,32.6923,27.451,8.9744,EDDPred,37
40,41,160,31.25,30,9.375,EDDPred,37
41,42,156,32.6923,23.5294,7.6923,EDDPred,37
42,43,164,31.7073,30.7692,9.7561,EDDPred,37
43,44,170,32.3529,21.8182,7.0588,EDDPred,37
44,45,169,28.9941,34.6939,10.0592,EDDPred,37
45,46,133,37.594,26,9.7744,EDDPred,37
46,47,173,30.0578,25,7.5145,EDDPred,37
47,48,163,31.2883,25.4902,7.9755,EDDPred,37
48,49,172,30.814,22.6415,6.9767,EDDPred,37
49,50,179,31.2849,23.2143,7.2626,EDDPred,37
50,1,144,31.9444,26.087,8.3333,EDDPred,38
51,2,155,32.2581,32,10.3226,EDDPred,38
52,3,179,32.4022,20.6897,6.7039,EDDPred,38
53,4,179,27.3743,28.5714,7.8212,EDDPred,38
54,5,160,31.875,25.4902,8.125,EDDPred,38
55,6,167,27.5449,26.087,7.1856,EDDPred,38
56,7,164,28.6585,36.1702,10.3659,EDDPred,38
57,8,165,32.1212,20.7547,6.6667,EDDPred,38
58,9,180,25.5556,30.4348,7.7778,EDDPred,38
59,10,162,30.2469,30.6122,9.2593,EDDPred,38
60,11,180,28.8889,30.7692,8.8889,EDDPred,38
61,12,152,34.8684,26.4151,9.2105,EDDPred,38
62,13,145,35.8621,30.7692,11.0345,EDDPred,38
63,14,164,28.6585,29.7872,8.5366,EDDPred,38
64,15,154,29.8701,30.4348,9.0909,EDDPred,38
65,16,168,30.9524,28.8462,8.9286,EDDPred,38
66,17,182,25.2747,32.6087,8.2418,EDDPred,38
67,18,180,30,22.2222,6.6667,EDDPred,38
68,19,161,26.7081,34.8837,9.3168,EDDPred,38
69,20,204,24.0196,34.6939,8.3333,EDDPred,38
70,21,178,28.6517,25.4902,7.3034,EDDPred,38
71,22,159,29.5597,36.1702,10.6918,EDDPred,38
72,23,158,33.5443,32.0755,10.7595,EDDPred,38
73,24,185,30.8108,26.3158,8.1081,EDDPred,38
74,25,166,30.7229,25.4902,7.8313,EDDPred,38
75,26,182,28.5714,25,7.1429,EDDPred,38
76,27,186,26.3441,34.6939,9.1398,EDDPred,38
77,28,174,29.8851,23.0769,6.8966,EDDPred,38
78,29,169,27.2189,34.7826,9.4675,EDDPred,38
79,30,165,30.303,32,9.697,EDDPred,38
80,31,154,34.4156,32.0755,11.039,EDDPred,38
81,32,160,35.625,24.5614,8.75,EDDPred,38
82,33,181,25.9669,34.0426,8.8398,EDDPred,38
83,34,144,31.9444,26.087,8.3333,EDDPred,38
84,35,185,27.027,22,5.9459,EDDPred,38
85,36,173,28.3237,32.6531,9.2486,EDDPred,38
86,37,182,30.7692,25,7.6923,EDDPred,38
87,38,185,28.6486,26.4151,7.5676,EDDPred,38
88,39,188,27.1277,33.3333,9.0426,EDDPred,38
89,40,156,32.0513,26,8.3333,EDDPred,38
90,41,160,28.125,33.3333,9.375,EDDPred,38
91,42,156,32.0513,28,8.9744,EDDPred,38
92,43,164,27.439,31.1111,8.5366,EDDPred,38
93,44,170,31.1765,24.5283,7.6471,EDDPred,38
94,45,169,28.9941,34.6939,10.0592,EDDPred,38
95,46,133,35.3383,29.7872,10.5263,EDDPred,38
96,47,173,31.2139,27.7778,8.6705,EDDPred,38
97,48,163,29.4479,29.1667,8.589,EDDPred,38
