,rseed,num_req,adm_rate,succ_order_rate,service_rate,policy,pct
0,1,144,10.4167,100.0,10.4167,NomiSch,68
1,2,155,9.6774,100.0,9.6774,NomiSch,68
2,3,179,10.0559,72.2222,7.2626,NomiSch,68
3,4,179,8.3799,100.0,8.3799,NomiSch,68
4,5,160,11.875,68.4211,8.125,NomiSch,68
5,6,167,10.1796,82.3529,8.3832,NomiSch,68
6,7,164,9.7561,93.75,9.1463,NomiSch,68
7,8,165,9.697,87.5,8.4848,NomiSch,68
8,9,180,8.3333,100.0,8.3333,NomiSch,68
9,10,162,9.2593,100.0,9.2593,NomiSch,68
10,11,180,8.8889,93.75,8.3333,NomiSch,68
11,12,152,9.8684,100.0,9.8684,NomiSch,68
12,13,145,11.0345,93.75,10.3448,NomiSch,68
13,14,164,9.7561,87.5,8.5366,NomiSch,68
14,15,154,9.7403,100.0,9.7403,NomiSch,68
15,16,168,10.119,76.4706,7.7381,NomiSch,68
16,17,182,8.2418,100.0,8.2418,NomiSch,68
17,18,180,8.3333,100.0,8.3333,NomiSch,68
18,19,161,10.559,88.2353,9.3168,NomiSch,68
19,20,204,7.3529,100.0,7.3529,NomiSch,68
20,21,178,8.427,100.0,8.427,NomiSch,68
21,22,159,10.6918,82.3529,8.805,NomiSch,68
22,23,158,10.1266,93.75,9.4937,NomiSch,68
