,rseed,num_req,adm_rate,succ_order_rate,service_rate
FOFS-IT0-current,12,152,10.5263,100.0,10.5263
EDD-1-IT0-current,12,152,40.1316,24.5902,9.8684
EDD-2-IT0-current,12,152,38.1579,25.8621,9.8684
EDD-3-IT0-current,12,152,36.8421,28.5714,10.5263
EDD-4-IT0-current,12,152,25.6579,35.8974,9.2105
EDD-5-IT0-current,12,152,24.3421,37.8378,9.2105
EDD-6-IT0-current,12,152,24.3421,40.5405,9.8684
FOFS-ITInf-current,12,152,100.0,12.5,12.5
EDD-1-ITInf-current,12,152,100.0,10.5263,10.5263
EDD-2-ITInf-current,12,152,100.0,10.5263,10.5263
EDD-3-ITInf-current,12,152,100.0,10.5263,10.5263
EDD-4-ITInf-current,12,152,100.0,10.5263,10.5263
EDD-5-ITInf-current,12,152,100.0,10.5263,10.5263
EDD-6-ITInf-current,12,152,100.0,10.5263,10.5263
FOFS-IT0-future,12,152,85.5263,10.7692,9.2105
EDD-1-IT0-future,12,152,91.4474,10.7914,9.8684
EDD-2-IT0-future,12,152,91.4474,10.7914,9.8684
EDD-3-IT0-future,12,152,91.4474,12.2302,11.1842
EDD-4-IT0-future,12,152,90.7895,10.8696,9.8684
EDD-5-IT0-future,12,152,89.4737,11.0294,9.8684
EDD-6-IT0-future,12,152,88.8158,11.1111,9.8684
FOFS-ITInf-future,12,152,100.0,12.5,12.5
EDD-1-ITInf-future,12,152,100.0,10.5263,10.5263
EDD-2-ITInf-future,12,152,100.0,10.5263,10.5263
EDD-3-ITInf-future,12,152,100.0,10.5263,10.5263
EDD-4-ITInf-future,12,152,100.0,10.5263,10.5263
EDD-5-ITInf-future,12,152,100.0,10.5263,10.5263
EDD-6-ITInf-future,12,152,100.0,10.5263,10.5263
FOFS-IT0-future_cstp,12,152,31.5789,29.1667,9.2105
EDD-1-IT0-future_cstp,12,152,34.8684,26.4151,9.2105
EDD-2-IT0-future_cstp,12,152,34.8684,26.4151,9.2105
EDD-3-IT0-future_cstp,12,152,30.9211,36.1702,11.1842
EDD-4-IT0-future_cstp,12,152,32.2368,28.5714,9.2105
EDD-5-IT0-future_cstp,12,152,32.2368,28.5714,9.2105
EDD-6-IT0-future_cstp,12,152,32.2368,28.5714,9.2105
FOFS-ITInf-future_cstp,12,152,100.0,12.5,12.5
EDD-1-ITInf-future_cstp,12,152,100.0,10.5263,10.5263
EDD-2-ITInf-future_cstp,12,152,100.0,10.5263,10.5263
EDD-3-ITInf-future_cstp,12,152,100.0,10.5263,10.5263
EDD-4-ITInf-future_cstp,12,152,100.0,10.5263,10.5263
EDD-5-ITInf-future_cstp,12,152,100.0,10.5263,10.5263
EDD-6-ITInf-future_cstp,12,152,100.0,10.5263,10.5263
