,rseed,num_req,adm_rate,succ_order_rate,service_rate
FOFS-IT0-current,29,169,7.1006,100.0,7.1006
EDD-1-IT0-current,29,169,26.0355,31.8182,8.284
EDD-2-IT0-current,29,169,24.2604,31.7073,7.6923
EDD-3-IT0-current,29,169,24.2604,31.7073,7.6923
EDD-4-IT0-current,29,169,22.4852,34.2105,7.6923
EDD-5-IT0-current,29,169,20.1183,38.2353,7.6923
EDD-6-IT0-current,29,169,18.3432,41.9355,7.6923
FOFS-ITInf-current,29,169,100.0,8.284,8.284
EDD-1-ITInf-current,29,169,100.0,9.4675,9.4675
EDD-2-ITInf-current,29,169,100.0,9.4675,9.4675
EDD-3-ITInf-current,29,169,100.0,9.4675,9.4675
EDD-4-ITInf-current,29,169,100.0,9.4675,9.4675
EDD-5-ITInf-current,29,169,100.0,9.4675,9.4675
EDD-6-ITInf-current,29,169,100.0,9.4675,9.4675
FOFS-IT0-future,29,169,89.9408,9.2105,8.284
EDD-1-IT0-future,29,169,89.9408,9.2105,8.284
EDD-2-IT0-future,29,169,89.9408,9.2105,8.284
EDD-3-IT0-future,29,169,90.5325,9.8039,8.8757
EDD-4-IT0-future,29,169,91.1243,9.7403,8.8757
EDD-5-IT0-future,29,169,89.3491,9.9338,8.8757
EDD-6-IT0-future,29,169,89.9408,10.5263,9.4675
FOFS-ITInf-future,29,169,100.0,8.284,8.284
EDD-1-ITInf-future,29,169,100.0,9.4675,9.4675
EDD-2-ITInf-future,29,169,100.0,9.4675,9.4675
EDD-3-ITInf-future,29,169,100.0,9.4675,9.4675
EDD-4-ITInf-future,29,169,100.0,9.4675,9.4675
EDD-5-ITInf-future,29,169,100.0,9.4675,9.4675
EDD-6-ITInf-future,29,169,100.0,9.4675,9.4675
FOFS-IT0-future_cstp,29,169,33.7278,24.5614,8.284
EDD-1-IT0-future_cstp,29,169,28.9941,32.6531,9.4675
EDD-2-IT0-future_cstp,29,169,29.5858,32.0,9.4675
EDD-3-IT0-future_cstp,29,169,30.1775,29.4118,8.8757
EDD-4-IT0-future_cstp,29,169,30.7692,28.8462,8.8757
EDD-5-IT0-future_cstp,29,169,30.7692,28.8462,8.8757
EDD-6-IT0-future_cstp,29,169,32.5444,27.2727,8.8757
FOFS-ITInf-future_cstp,29,169,100.0,8.284,8.284
EDD-1-ITInf-future_cstp,29,169,100.0,9.4675,9.4675
EDD-2-ITInf-future_cstp,29,169,100.0,9.4675,9.4675
EDD-3-ITInf-future_cstp,29,169,100.0,9.4675,9.4675
EDD-4-ITInf-future_cstp,29,169,100.0,9.4675,9.4675
EDD-5-ITInf-future_cstp,29,169,100.0,9.4675,9.4675
EDD-6-ITInf-future_cstp,29,169,100.0,9.4675,9.4675
